alpha,r2
0.0,0.9997146381853034
0.5,0.6696514628789694
1.0,0.5223696794468584
1.5,0.30782018009558454
2.0,0.05434790815236856
2.5,-1.0954802021068133e-06
3.0,-1.0954802021068133e-06
3.5,-1.0954802021068133e-06
4.0,-1.0954802021068133e-06
4.5,-1.0954802021068133e-06
5.0,-1.0954802021068133e-06
5.5,-1.0954802021068133e-06
6.0,-1.0954802021068133e-06
6.5,-1.0954802021068133e-06
7.0,-1.0954802021068133e-06
7.5,-1.0954802021068133e-06
8.0,-1.0954802021068133e-06
8.5,-1.0954802021068133e-06
9.0,-1.0954802021068133e-06
9.5,-1.0954802021068133e-06
10.0,-1.0954802021068133e-06
10.5,-1.0954802021068133e-06
11.0,-1.0954802021068133e-06
11.5,-1.0954802021068133e-06
12.0,-1.0954802021068133e-06
12.5,-1.0954802021068133e-06
13.0,-1.0954802021068133e-06
13.5,-1.0954802021068133e-06
14.0,-1.0954802021068133e-06
14.5,-1.0954802021068133e-06
15.0,-1.0954802021068133e-06
15.5,-1.0954802021068133e-06
16.0,-1.0954802021068133e-06
16.5,-1.0954802021068133e-06
17.0,-1.0954802021068133e-06
17.5,-1.0954802021068133e-06
18.0,-1.0954802021068133e-06
18.5,-1.0954802021068133e-06
19.0,-1.0954802021068133e-06
19.5,-1.0954802021068133e-06
20.0,-1.0954802021068133e-06
